time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010449600000	17.4576	18.6486	4.7657	2.40166	0.525137	lidar	0.566064	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.2803	18.7878	4.73359	2.43473	0.535384	radar	1.69355	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.1233	18.9191	4.66448	2.45972	0.533766	lidar	0.259468	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.9558	19.0894	4.67862	2.47271	0.515579	radar	3.1499	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.7357	19.2077	4.6956	2.51267	0.528983	lidar	2.66781	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.5431	19.3638	4.73009	2.53557	0.527409	radar	3.25411	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.306	19.5346	4.8533	2.56117	0.526283	lidar	0.80724	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.0854	19.6175	4.8196	2.60874	0.55369	radar	10.0444	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.8771	19.7631	4.85413	2.62921	0.546718	lidar	0.735793	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.692	19.8836	4.7856	2.63809	0.513345	radar	3.37605	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.4512	20.0429	4.89814	2.65616	0.505526	lidar	1.20888	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.2328	20.1899	4.93637	2.66756	0.487041	radar	5.67934	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.0518	20.3139	4.88208	2.68106	0.477146	lidar	2.03099	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.8207	20.3986	4.88302	2.71565	0.490872	radar	2.03968	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.6067	20.5152	4.88692	2.7332	0.484279	lidar	0.650472	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.3651	20.607	4.92938	2.76577	0.499212	radar	1.15135	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.1203	20.6798	4.94075	2.79732	0.505345	lidar	0.647923	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.8792	20.7545	4.96524	2.82984	0.518461	radar	0.337463	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.6012	20.8207	5.03695	2.8629	0.52464	lidar	1.45515	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.347	20.8565	5.07361	2.91058	0.560001	radar	2.50886	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.1085	20.8935	5.0404	2.94335	0.564834	lidar	0.232575	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.8739	20.9528	5.02308	2.96576	0.558831	radar	1.78694	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.6927	20.9869	4.88622	2.99086	0.557858	lidar	2.18816	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.433	21.0307	4.9399	3.01815	0.559279	radar	2.53085	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.189	21.0669	4.94328	3.04299	0.556256	lidar	0.113964	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.9486	21.0874	4.94903	3.07356	0.563169	radar	1.01878	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.7138	21.0557	4.89913	3.11687	0.578449	lidar	2.02652	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.4646	21.0429	4.90749	3.15218	0.586006	radar	1.12703	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.2597	21.0325	4.82385	3.18285	0.588723	lidar	0.710273	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	11.0013	20.9955	4.85998	3.22154	0.598769	radar	4.22081	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.8019	20.9545	4.76859	3.25883	0.607561	lidar	0.569582	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.5592	20.9484	4.70916	3.27208	0.578783	radar	5.30779	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.2649	20.9799	4.84517	3.27461	0.550335	lidar	3.45916	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	10.0291	20.9597	4.83146	3.29597	0.543063	radar	1.009	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.84877	20.9169	4.71517	3.328	0.550041	lidar	1.51442	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.6303	20.8997	4.6027	3.33721	0.520276	radar	2.17837	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.44426	20.8479	4.52487	3.36824	0.526647	lidar	0.595104	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.23378	20.802	4.51711	3.39363	0.527438	radar	1.38507	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.916	20.7771	4.71182	3.39682	0.501109	lidar	3.11298	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.70984	20.6962	4.68098	3.43203	0.512929	radar	4.23565	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.41444	20.617	4.82468	3.45215	0.504892	lidar	3.09177	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.1869	20.5373	4.8326	3.47957	0.5082	radar	0.0492762	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
